index,date,home_team,away_team,result,pso,competition,neutral_pitch
0,2018-06-04,IND,KEN,3:0,,Friendly 2018,False
1,2018-06-04,ARM,MDA,0:0,,Friendly 2018,True
2,2018-06-04,ITA,NED,1:1,,Friendly 2018,False
3,2018-06-04,SRB,CHI,0:1,,Friendly 2018,True
4,2018-06-04,SVK,MAR,1:2,,Friendly 2018,True
5,2018-06-05,SWZ,BOT,0:2,,COSAFA Cup 2018,True
6,2018-06-05,RSA,NAM,4:1,,COSAFA Cup 2018,False
7,2018-06-05,LTU,LVA,1:1,,Friendly 2018,False
8,2018-06-05,TPE,NZL,0:1,,Friendly 2018,True
9,2018-06-05,KAZ,AZE,3:0,,Friendly 2018,False
10,2018-06-05,LUX,GEO,1:0,,Friendly 2018,False
11,2018-06-05,ROU,FIN,2:0,,Friendly 2018,False
12,2018-06-05,RUS,TUR,1:1,,Friendly 2018,False
13,2018-06-06,NOR,PAN,1:0,,Friendly 2018,False
14,2018-06-06,NGA,CZE,0:1,,Friendly 2018,True
15,2018-06-06,BEL,EGY,3:0,,Friendly 2018,False
16,2018-06-06,ZAM,MAD,1:0,,COSAFA Cup 2018,True
17,2018-06-06,LES,ZIM,0:0 a.e.t.,1:3,COSAFA Cup 2018,True
18,2018-06-06,BLR,HUN,1:1,,Friendly 2018,False
19,2018-06-07,IND,NZL,1:2,,Friendly 2018,True
20,2018-06-07,ENG,CRC,2:0,,Friendly 2018,False
21,2018-06-07,ISL,GHA,2:2,,Friendly 2018,False
22,2018-06-07,KOR,BOL,0:0,,Friendly 2018,True
23,2018-06-07,POR,ALG,3:0,,Friendly 2018,False
24,2018-06-07,URU,UZB,3:0,,Friendly 2018,False
25,2018-06-08,IRN,LTU,1:0,,Friendly 2018,True
26,2018-06-08,SUI,JPN,2:0,,Friendly 2018,False
27,2018-06-08,POL,CHI,2:2,,Friendly 2018,False
28,2018-06-08,GER,KSA,2:1,,Friendly 2018,False
29,2018-06-08,TPE,KEN,0:4,,Friendly 2018,True
30,2018-06-08,RSA,BOT,3:0,,COSAFA Cup 2018,False
31,2018-06-08,MAD,LES,0:1,,COSAFA Cup 2018,True
32,2018-06-08,CRO,SEN,2:1,,Friendly 2018,False
33,2018-06-09,TUN,ESP,0:1,,Friendly 2018,True
34,2018-06-09,SRB,BOL,5:1,,Friendly 2018,True
35,2018-06-09,LVA,AZE,1:3,,Friendly 2018,False
36,2018-06-09,HUN,AUS,1:2,,Friendly 2018,False
37,2018-06-09,SWE,PER,0:0,,Friendly 2018,False
38,2018-06-09,FIN,BLR,2:0,,Friendly 2018,False
39,2018-06-09,EST,MAR,1:3,,Friendly 2018,False
40,2018-06-09,DEN,MEX,2:0,,Friendly 2018,False
41,2018-06-09,ZAM,ZIM,2:4 a.e.t.,,COSAFA Cup 2018,True
42,2018-06-09,FRA,USA,1:1,,Friendly 2018,False
43,2018-06-10,IND,KEN,2:0,,Friendly 2018,True
44,2018-06-10,AUT,BRA,0:3,,Friendly 2018,False
45,2018-06-11,BEL,CRC,4:1,,Friendly 2018,False
46,2018-06-11,SEN,KOR,2:0,,Friendly 2018,True
47,2018-06-12,JPN,PAR,4:2,,Friendly 2018,True
48,2018-06-12,POL,LTU,4:0,,Friendly 2018,False
49,2018-06-14,RUS,KSA,5:0,,FIFA World Cup 2018,False
50,2018-06-15,MAR,IRN,0:1,,FIFA World Cup 2018,True
51,2018-06-15,EGY,URU,0:1,,FIFA World Cup 2018,True
52,2018-06-15,POR,ESP,3:3,,FIFA World Cup 2018,True
53,2018-06-16,CRO,NGA,2:0,,FIFA World Cup 2018,True
54,2018-06-16,ARG,ISL,1:1,,FIFA World Cup 2018,True
55,2018-06-16,FRA,AUS,2:1,,FIFA World Cup 2018,True
56,2018-06-16,PER,DEN,0:1,,FIFA World Cup 2018,True
57,2018-06-17,BRA,SUI,1:1,,FIFA World Cup 2018,True
58,2018-06-17,CRC,SRB,0:1,,FIFA World Cup 2018,True
59,2018-06-17,GER,MEX,0:1,,FIFA World Cup 2018,True
60,2018-06-18,SWE,KOR,1:0,,FIFA World Cup 2018,True
61,2018-06-18,BEL,PAN,3:0,,FIFA World Cup 2018,True
62,2018-06-18,TUN,ENG,1:2,,FIFA World Cup 2018,True
63,2018-06-19,RUS,EGY,3:1,,FIFA World Cup 2018,False
64,2018-06-19,COL,JPN,1:2,,FIFA World Cup 2018,True
65,2018-06-19,POL,SEN,1:2,,FIFA World Cup 2018,True
66,2018-06-20,IRN,ESP,0:1,,FIFA World Cup 2018,True
67,2018-06-20,URU,KSA,1:0,,FIFA World Cup 2018,True
68,2018-06-20,POR,MAR,1:0,,FIFA World Cup 2018,True
69,2018-06-21,ARG,CRO,0:3,,FIFA World Cup 2018,True
70,2018-06-21,DEN,AUS,1:1,,FIFA World Cup 2018,True
71,2018-06-21,FRA,PER,1:0,,FIFA World Cup 2018,True
72,2018-06-22,NGA,ISL,2:0,,FIFA World Cup 2018,True
73,2018-06-22,BRA,CRC,2:0,,FIFA World Cup 2018,True
74,2018-06-22,SRB,SUI,1:2,,FIFA World Cup 2018,True
75,2018-06-23,BEL,TUN,5:2,,FIFA World Cup 2018,True
76,2018-06-23,GER,SWE,2:1,,FIFA World Cup 2018,True
77,2018-06-23,KOR,MEX,1:2,,FIFA World Cup 2018,True
78,2018-06-24,JPN,SEN,2:2,,FIFA World Cup 2018,True
79,2018-06-24,POL,COL,0:3,,FIFA World Cup 2018,True
80,2018-06-24,ENG,PAN,6:1,,FIFA World Cup 2018,True
81,2018-06-25,ESP,MAR,2:2,,FIFA World Cup 2018,True
82,2018-06-25,IRN,POR,1:1,,FIFA World Cup 2018,True
83,2018-06-25,KSA,EGY,2:1,,FIFA World Cup 2018,True
84,2018-06-25,RUS,URU,0:3,,FIFA World Cup 2018,False
85,2018-06-26,AUS,PER,0:2,,FIFA World Cup 2018,True
86,2018-06-26,DEN,FRA,0:0,,FIFA World Cup 2018,True
87,2018-06-26,ISL,CRO,1:2,,FIFA World Cup 2018,True
88,2018-06-26,NGA,ARG,1:2,,FIFA World Cup 2018,True
89,2018-06-27,SRB,BRA,0:2,,FIFA World Cup 2018,True
90,2018-06-27,SUI,CRC,2:2,,FIFA World Cup 2018,True
91,2018-06-27,KOR,GER,2:0,,FIFA World Cup 2018,True
92,2018-06-27,MEX,SWE,0:3,,FIFA World Cup 2018,True
93,2018-06-28,PAN,TUN,1:2,,FIFA World Cup 2018,True
94,2018-06-28,SEN,COL,0:1,,FIFA World Cup 2018,True
95,2018-06-28,ENG,BEL,0:1,,FIFA World Cup 2018,True
96,2018-06-28,JPN,POL,0:1,,FIFA World Cup 2018,True
97,2018-06-30,FRA,ARG,4:3,,FIFA World Cup 2018,True
98,2018-06-30,URU,POR,2:1,,FIFA World Cup 2018,True
99,2018-07-01,CRO,DEN,1:1 a.e.t.,3:2,FIFA World Cup 2018,True
100,2018-07-01,RUS,ESP,1:1 a.e.t.,4:3,FIFA World Cup 2018,False
101,2018-07-02,BEL,JPN,3:2,,FIFA World Cup 2018,True
102,2018-07-02,BRA,MEX,2:0,,FIFA World Cup 2018,True
103,2018-07-03,COL,ENG,1:1 a.e.t.,3:4,FIFA World Cup 2018,True
104,2018-07-03,SWE,SUI,1:0,,FIFA World Cup 2018,True
105,2018-07-05,MAS,FIJ,1:0,,Friendly 2018,False
106,2018-07-06,URU,FRA,0:2,,FIFA World Cup 2018,True
107,2018-07-06,BRA,BEL,1:2,,FIFA World Cup 2018,True
108,2018-07-07,RUS,CRO,2:2 a.e.t.,3:4,FIFA World Cup 2018,False
109,2018-07-07,SWE,ENG,0:2,,FIFA World Cup 2018,True
110,2018-07-10,FRA,BEL,1:0,,FIFA World Cup 2018,True
111,2018-07-11,CRO,ENG,2:1 a.e.t.,,FIFA World Cup 2018,True
112,2018-07-14,BEL,ENG,2:0,,FIFA World Cup 2018,True
113,2018-07-15,FRA,CRO,4:2,,FIFA World Cup 2018,True
114,2018-08-04,BLZ,BRB,1:0,,Friendly 2018,False
115,2018-08-04,PLE,IRQ,0:3,,Friendly 2018,False
116,2018-08-15,GUA,CUB,3:0,,Friendly 2018,False
117,2018-08-17,GRN,JAM,1:5,,Friendly 2018,False
118,2018-08-18,AND,UAE,0:0,,Friendly 2018,True
119,2018-08-18,GUA,CUB,1:0,,Friendly 2018,False
120,2018-08-20,BRB,JAM,2:2,,Friendly 2018,False
121,2018-08-26,BRB,CUB,0:0,,Friendly 2018,False
122,2018-08-29,BAN,SRI,0:1,,Friendly 2018,False
123,2018-08-29,BRB,CUB,0:2,,Friendly 2018,False
124,2018-08-29,MAC,SOL,1:4,,Friendly 2018,False
125,2018-09-01,TLS,BRU,3:1,,South East Asian Championship 2018 Q,True
126,2018-09-02,ETH,BDI,1:1,,Friendly 2018,False
127,2018-09-02,MNG,MAC,4:1,,East Asian Championship 2019 Q,False
128,2018-09-04,GUM,MAC,0:2,,East Asian Championship 2019 Q,True
129,2018-09-04,BAN,BHU,2:0,,South Asian Championship 2018,False
130,2018-09-04,NEP,PAK,1:2,,South Asian Championship 2018,True
131,2018-09-05,FIJ,SOL,1:1,,Friendly 2018,False
132,2018-09-05,SVK,DEN,3:0,,Friendly 2018,False
133,2018-09-05,IND,SRI,2:0,,South Asian Championship 2018,True
134,2018-09-06,GER,FRA,0:0,,UEFA Nations League 2019,False
135,2018-09-06,CZE,UKR,1:2,,UEFA Nations League 2019,False
136,2018-09-06,WAL,IRL,4:1,,UEFA Nations League 2019,False
137,2018-09-06,NOR,CYP,2:0,,UEFA Nations League 2019,False
138,2018-09-06,LVA,AND,0:0,,UEFA Nations League 2019,False
139,2018-09-06,KAZ,GEO,0:2,,UEFA Nations League 2019,False
140,2018-09-06,NEP,BHU,4:0,,South Asian Championship 2018,True
141,2018-09-06,ARM,LIE,2:1,,UEFA Nations League 2019,False
142,2018-09-06,GIB,MKD,0:2,,UEFA Nations League 2019,False
143,2018-09-06,SVN,BUL,1:2,,UEFA Nations League 2019,False
144,2018-09-06,BAN,PAK,1:0,,South Asian Championship 2018,False
145,2018-09-06,MNG,GUM,1:1,,East Asian Championship 2019 Q,False
146,2018-09-06,TRI,UAE,2:0,,Friendly 2018,True
147,2018-09-06,UZB,SYR,1:1,,Friendly 2018,False
148,2018-09-06,GUY,BRB,3:0,,CONCACAF Nations League 2020 Q,False
149,2018-09-06,AUT,SWE,2:0,,Friendly 2018,False
150,2018-09-06,BHR,PHI,1:1,,Friendly 2018,False
151,2018-09-06,DMA,SUR,0:0,,CONCACAF Nations League 2020 Q,True
152,2018-09-06,KGZ,PLE,1:1,,Friendly 2018,False
153,2018-09-06,NED,PER,2:1,,Friendly 2018,False
154,2018-09-06,POR,CRO,1:1,,Friendly 2018,False
155,2018-09-06,JOR,LIB,0:1,,Friendly 2018,False
156,2018-09-07,MDV,SRI,0:0,,South Asian Championship 2018,True
157,2018-09-07,FRO,MLT,3:1,,UEFA Nations League 2019,False
158,2018-09-07,AZE,KOS,0:0,,UEFA Nations League 2019,False
159,2018-09-07,ROU,MNE,0:0,,UEFA Nations League 2019,False
160,2018-09-07,LTU,SRB,0:1,,UEFA Nations League 2019,False
161,2018-09-07,ALB,ISR,1:0,,UEFA Nations League 2019,False
162,2018-09-07,TUR,RUS,1:2,,UEFA Nations League 2019,False
163,2018-09-07,ITA,POL,1:1,,UEFA Nations League 2019,False
164,2018-09-07,VEN,COL,1:2,,Friendly 2018,True
165,2018-09-07,KOR,CRC,2:0,,Friendly 2018,False
166,2018-09-07,SIN,MRI,1:1,,Friendly 2018,False
167,2018-09-07,SCO,BEL,0:4,,Friendly 2018,False
168,2018-09-07,QAT,CHN,1:0,,Friendly 2018,False
169,2018-09-07,MEX,URU,1:4,,Friendly 2018,True
170,2018-09-07,GUA,ARG,0:3,,Friendly 2018,True
171,2018-09-07,TPE,MAS,2:0,,Friendly 2018,False
172,2018-09-07,BLZ,BAH,4:0,,CONCACAF Nations League 2020 Q,False
173,2018-09-07,ATG,LCA,0:3,,CONCACAF Nations League 2020 Q,False
174,2018-09-07,USA,BRA,0:2,,Friendly 2018,False
175,2018-09-08,VIN,NCA,0:2,,CONCACAF Nations League 2020 Q,False
176,2018-09-08,BAN,NEP,0:2,,South Asian Championship 2018,False
177,2018-09-08,BHU,PAK,0:3,,South Asian Championship 2018,False
178,2018-09-08,BRU,TLS,1:0,,South East Asian Championship 2018 Q,False
179,2018-09-08,SUI,ISL,6:0,,UEFA Nations League 2019,False
180,2018-09-08,FIN,HUN,1:0,,UEFA Nations League 2019,False
181,2018-09-08,NIR,BIH,1:2,,UEFA Nations League 2019,False
182,2018-09-08,EST,GRE,0:1,,UEFA Nations League 2019,False
183,2018-09-08,BLR,SMR,5:0,,UEFA Nations League 2019,False
184,2018-09-08,LUX,MDA,4:0,,UEFA Nations League 2019,False
185,2018-09-08,ENG,ESP,1:2,,UEFA Nations League 2019,False
186,2018-09-08,CUB,TCA,11:0,,CONCACAF Nations League 2020 Q,False
187,2018-09-08,MSR,SLV,1:2,,CONCACAF Nations League 2020 Q,False
188,2018-09-08,NAM,ZAM,1:1,,CAF Nations Cup 2019 Q,False
189,2018-09-08,UGA,TAN,0:0,,CAF Nations Cup 2019 Q,False
190,2018-09-08,EQG,SDN,1:0,,CAF Nations Cup 2019 Q,False
191,2018-09-08,COM,CMR,1:1,,CAF Nations Cup 2019 Q,False
192,2018-09-08,MAR,MWI,3:0,,CAF Nations Cup 2019 Q,False
193,2018-09-08,GAM,ALG,1:1,,CAF Nations Cup 2019 Q,False
194,2018-09-08,GAB,BDI,1:1,,CAF Nations Cup 2019 Q,False
195,2018-09-08,RSA,LBY,0:0,,CAF Nations Cup 2019 Q,False
196,2018-09-08,KEN,GHA,1:0,,CAF Nations Cup 2019 Q,False
197,2018-09-08,MTN,BFA,2:0,,CAF Nations Cup 2019 Q,False
198,2018-09-08,EGY,NIG,6:0,,CAF Nations Cup 2019 Q,False
199,2018-09-08,MOZ,GNB,2:2,,CAF Nations Cup 2019 Q,False
200,2018-09-08,SEY,NGA,0:3,,CAF Nations Cup 2019 Q,False
201,2018-09-09,UKR,SVK,1:0,,UEFA Nations League 2019,False
202,2018-09-09,VIR,CAN,0:8,,CONCACAF Nations League 2020 Q,True
203,2018-09-09,GER,PER,2:1,,Friendly 2018,False
204,2018-09-09,IND,MDV,2:0,,South Asian Championship 2018,True
205,2018-09-09,DEN,WAL,2:0,,UEFA Nations League 2019,False
206,2018-09-09,SKN,PUR,1:0,,CONCACAF Nations League 2020 Q,False
207,2018-09-09,CYP,SVN,2:1,,UEFA Nations League 2019,False
208,2018-09-09,GEO,LVA,1:0,,UEFA Nations League 2019,False
209,2018-09-09,MKD,ARM,2:0,,UEFA Nations League 2019,False
210,2018-09-09,LIE,GIB,2:0,,UEFA Nations League 2019,False
211,2018-09-09,BUL,NOR,1:0,,UEFA Nations League 2019,False
212,2018-09-09,JAM,CAY,4:0,,CONCACAF Nations League 2020 Q,False
213,2018-09-09,FRA,NED,2:1,,UEFA Nations League 2019,False
214,2018-09-09,LES,CPV,1:1,,CAF Nations Cup 2019 Q,False
215,2018-09-09,MAD,SEN,2:2,,CAF Nations Cup 2019 Q,False
216,2018-09-09,SSD,MLI,0:3,,CAF Nations Cup 2019 Q,False
217,2018-09-09,ETH,SLE,1:0,,CAF Nations Cup 2019 Q,False
218,2018-09-09,CGO,ZIM,1:1,,CAF Nations Cup 2019 Q,False
219,2018-09-09,LBR,COD,1:1,,CAF Nations Cup 2019 Q,False
220,2018-09-09,TOG,BEN,0:0,,CAF Nations Cup 2019 Q,False
221,2018-09-09,ARU,BER,3:1,,CONCACAF Nations League 2020 Q,True
222,2018-09-09,RWA,CIV,1:2,,CAF Nations Cup 2019 Q,False
223,2018-09-09,ANG,BOT,1:0,,CAF Nations Cup 2019 Q,False
224,2018-09-09,SWZ,TUN,0:2,,CAF Nations Cup 2019 Q,False
225,2018-09-09,GUI,CTA,1:0,,CAF Nations Cup 2019 Q,False
226,2018-09-10,SCO,ALB,2:0,,UEFA Nations League 2019,False
227,2018-09-10,MLT,AZE,1:1,,UEFA Nations League 2019,False
228,2018-09-10,KOS,FRO,2:0,,UEFA Nations League 2019,False
229,2018-09-10,AND,KAZ,1:1,,UEFA Nations League 2019,False
230,2018-09-10,SRB,ROU,2:2,,UEFA Nations League 2019,False
231,2018-09-10,MNE,LTU,2:0,,UEFA Nations League 2019,False
232,2018-09-10,SWE,TUR,2:3,,UEFA Nations League 2019,False
233,2018-09-10,POR,ITA,1:0,,UEFA Nations League 2019,False
234,2018-09-10,KSA,BOL,2:2,,Friendly 2018,False
235,2018-09-10,RUS,CZE,5:1,,Friendly 2018,False
236,2018-09-10,KGZ,SYR,2:1,,Friendly 2018,False
237,2018-09-10,KUW,IRQ,2:2,,Friendly 2018,False
238,2018-09-10,CAM,MAS,1:3,,Friendly 2018,False
239,2018-09-10,BHR,CHN,0:0,,Friendly 2018,False
240,2018-09-10,CUW,GRN,10:0,,CONCACAF Nations League 2020 Q,False
241,2018-09-11,SIN,FIJ,2:0,,Friendly 2018,False
242,2018-09-11,UAE,LAO,3:0,,Friendly 2018,True
243,2018-09-11,USA,MEX,1:0,,Friendly 2018,False
244,2018-09-11,UZB,IRN,0:1,,Friendly 2018,False
245,2018-09-11,ISL,BEL,0:3,,UEFA Nations League 2019,False
246,2018-09-11,FIN,EST,1:0,,UEFA Nations League 2019,False
247,2018-09-11,BIH,AUT,1:0,,UEFA Nations League 2019,False
248,2018-09-11,QAT,PLE,3:0,,Friendly 2018,False
249,2018-09-11,MDA,BLR,0:0,,UEFA Nations League 2019,False
250,2018-09-11,SMR,LUX,0:3,,UEFA Nations League 2019,False
251,2018-09-11,ESP,CRO,6:0,,UEFA Nations League 2019,False
252,2018-09-11,POL,IRL,1:1,,Friendly 2018,False
253,2018-09-11,HUN,GRE,2:1,,UEFA Nations League 2019,False
254,2018-09-11,NIR,ISR,3:0,,Friendly 2018,False
255,2018-09-11,BRA,SLV,5:0,,Friendly 2018,True
256,2018-09-11,COL,ARG,0:0,,Friendly 2018,True
257,2018-09-11,PAN,VEN,0:2,,Friendly 2018,False
258,2018-09-11,GAB,ZAM,0:1,,Friendly 2018,False
259,2018-09-11,GUA,ECU,0:2,,Friendly 2018,True
260,2018-09-11,ENG,SUI,1:0,,Friendly 2018,False
261,2018-09-11,JPN,CRC,3:0,,Friendly 2018,False
262,2018-09-11,JOR,OMA,0:0,,Friendly 2018,True
263,2018-09-11,KEN,MWI,1:0,,Friendly 2018,False
264,2018-09-11,KOR,CHI,0:0,,Friendly 2018,False
265,2018-09-11,LBR,NGA,1:2,,Friendly 2018,False
266,2018-09-11,IDN,MRI,1:0,,Friendly 2018,False
267,2018-09-12,IND,PAK,3:1,,South Asian Championship 2018,True
268,2018-09-12,NEP,MDV,0:3,,South Asian Championship 2018,True
269,2018-09-15,MDV,IND,2:1,,South Asian Championship 2018,True
270,2018-09-30,BOT,NAM,1:0,,Friendly 2018,False
271,2018-10-01,BAN,LAO,1:0,,Friendly 2018,False
272,2018-10-02,NEP,TJK,0:2,,Friendly 2018,True
273,2018-10-03,LAO,PHI,1:3,,Friendly 2018,True
274,2018-10-04,TJK,PLE,0:2,,Friendly 2018,True
275,2018-10-05,BAN,PHI,0:1,,Friendly 2018,False
276,2018-10-06,PLE,NEP,1:0,,Friendly 2018,True
277,2018-10-09,PHI,TJK,0:2,,Friendly 2018,True
278,2018-10-10,IDN,MYA,3:0,,Friendly 2018,False
279,2018-10-10,ALB,JOR,0:0,,Friendly 2018,False
280,2018-10-10,ITA,UKR,1:1,,Friendly 2018,False
281,2018-10-10,ZAM,GNB,2:1,,CAF Nations Cup 2019 Q,False
282,2018-10-10,ETH,KEN,0:0,,CAF Nations Cup 2019 Q,False
283,2018-10-10,BAN,PLE,0:2,,Friendly 2018,False
284,2018-10-11,WAL,ESP,1:4,,Friendly 2018,False
285,2018-10-11,KOS,MLT,3:1,,UEFA Nations League 2019,False
286,2018-10-11,FRO,AZE,0:3,,UEFA Nations League 2019,False
287,2018-10-11,MNE,SRB,0:2,,UEFA Nations League 2019,False
288,2018-10-11,LTU,ROU,1:2,,UEFA Nations League 2019,False
289,2018-10-11,ISR,SCO,2:1,,UEFA Nations League 2019,False
290,2018-10-11,RUS,SWE,0:0,,UEFA Nations League 2019,False
291,2018-10-11,POL,POR,2:3,,UEFA Nations League 2019,False
292,2018-10-11,USA,COL,2:4,,Friendly 2018,False
293,2018-10-11,CGO,LBR,3:1,,CAF Nations Cup 2019 Q,False
294,2018-10-11,TUR,BIH,0:0,,Friendly 2018,False
295,2018-10-11,MEX,CRC,3:2,,Friendly 2018,False
296,2018-10-11,KUW,LIB,1:0,,Friendly 2018,False
297,2018-10-11,HKG,THA,0:1,,Friendly 2018,False
298,2018-10-11,FRA,ISL,2:2,,Friendly 2018,False
299,2018-10-11,BHR,SYR,0:1,,Friendly 2018,False
300,2018-10-11,IRQ,ARG,0:4,,Friendly 2018,True
301,2018-10-11,UAE,HON,1:1,,Friendly 2018,True
302,2018-10-12,JPN,PAN,3:0,,Friendly 2018,False
303,2018-10-12,KOR,URU,2:1,,Friendly 2018,False
304,2018-10-12,PER,CHI,3:0,,Friendly 2018,True
305,2018-10-12,QAT,ECU,4:3,,Friendly 2018,False
306,2018-10-12,SIN,MNG,2:0,,Friendly 2018,False
307,2018-10-12,SRI,MAS,1:4,,Friendly 2018,False
308,2018-10-12,EST,FIN,0:1,,UEFA Nations League 2019,False
309,2018-10-12,CRO,ENG,0:0,,UEFA Nations League 2019,False
310,2018-10-12,AUT,NIR,1:0,,UEFA Nations League 2019,False
311,2018-10-12,GRE,HUN,1:0,,UEFA Nations League 2019,False
312,2018-10-12,BLR,LUX,1:0,,UEFA Nations League 2019,False
313,2018-10-12,CAM,TLS,2:2,,Friendly 2018,False
314,2018-10-12,MDA,SMR,2:0,,UEFA Nations League 2019,False
315,2018-10-12,KSA,BRA,0:2,,Friendly 2018,False
316,2018-10-12,BEL,SUI,2:1,,UEFA Nations League 2019,False
317,2018-10-12,VIR,CUW,0:5,,CONCACAF Nations League 2020 Q,True
318,2018-10-12,GAB,SSD,3:0,,CAF Nations Cup 2019 Q,False
319,2018-10-12,MLI,BDI,0:0,,CAF Nations Cup 2019 Q,False
320,2018-10-12,ALG,BEN,2:0,,CAF Nations Cup 2019 Q,False
321,2018-10-12,TOG,GAM,1:1,,CAF Nations Cup 2019 Q,False
322,2018-10-12,CIV,CTA,4:0,,CAF Nations Cup 2019 Q,False
323,2018-10-12,GUI,RWA,2:0,,CAF Nations Cup 2019 Q,False
324,2018-10-12,CMR,MWI,1:0,,CAF Nations Cup 2019 Q,False
325,2018-10-12,EGY,SWZ,4:1,,CAF Nations Cup 2019 Q,False
326,2018-10-12,ANG,MTN,4:1,,CAF Nations Cup 2019 Q,False
327,2018-10-12,GRN,CUB,0:2,,CONCACAF Nations League 2020 Q,False
328,2018-10-12,TJK,PLE,0:0 a.e.t.,3:4,Friendly 2018,True
329,2018-10-12,BAH,ATG,0:6,,CONCACAF Nations League 2020 Q,False
330,2018-10-12,CPV,TAN,3:0,,CAF Nations Cup 2019 Q,False
331,2018-10-12,DOM,CAY,3:0,,CONCACAF Nations League 2020 Q,False
332,2018-10-13,MYA,BOL,0:3,,Friendly 2018,False
333,2018-10-13,MKD,LIE,4:1,,UEFA Nations League 2019,False
334,2018-10-13,ARM,GIB,0:1,,UEFA Nations League 2019,False
335,2018-10-13,LVA,KAZ,1:1,,UEFA Nations League 2019,False
336,2018-10-13,NOR,SVN,1:0,,UEFA Nations League 2019,False
337,2018-10-13,BUL,CYP,2:1,,UEFA Nations League 2019,False
338,2018-10-13,IRL,DEN,0:0,,UEFA Nations League 2019,False
339,2018-10-13,SVK,CZE,1:2,,UEFA Nations League 2019,False
340,2018-10-13,NED,GER,3:0,,UEFA Nations League 2019,False
341,2018-10-13,UZB,PRK,2:0,,Friendly 2018,False
342,2018-10-13,PHI,OMA,1:1,,Friendly 2018,True
343,2018-10-13,GEO,AND,3:0,,UEFA Nations League 2019,False
344,2018-10-13,CHN,IND,0:0,,Friendly 2018,False
345,2018-10-13,TCA,GUY,0:8,,CONCACAF Nations League 2020 Q,False
346,2018-10-13,SLV,BRB,3:0,,CONCACAF Nations League 2020 Q,False
347,2018-10-13,EQG,MAD,0:1,,CAF Nations Cup 2019 Q,False
348,2018-10-13,SEN,SDN,3:0,,CAF Nations Cup 2019 Q,False
349,2018-10-13,NGA,LBY,4:0,,CAF Nations Cup 2019 Q,False
350,2018-10-13,RSA,SEY,6:0,,CAF Nations Cup 2019 Q,False
351,2018-10-13,MAR,COM,1:0,,CAF Nations Cup 2019 Q,False
352,2018-10-13,BFA,BOT,3:0,,CAF Nations Cup 2019 Q,False
353,2018-10-13,TUN,NIG,1:0,,CAF Nations Cup 2019 Q,False
354,2018-10-13,MOZ,NAM,1:2,,CAF Nations Cup 2019 Q,False
355,2018-10-13,UGA,LES,3:0,,CAF Nations Cup 2019 Q,False
356,2018-10-13,SUR,VGB,5:0,,CONCACAF Nations League 2020 Q,False
357,2018-10-13,COD,ZIM,1:2,,CAF Nations Cup 2019 Q,False
358,2018-10-14,ISR,ALB,2:0,,UEFA Nations League 2019,False
359,2018-10-14,FRO,KOS,1:1,,UEFA Nations League 2019,False
360,2018-10-14,AZE,MLT,1:1,,UEFA Nations League 2019,False
361,2018-10-14,ROU,SRB,0:0,,UEFA Nations League 2019,False
362,2018-10-14,LTU,MNE,1:4,,UEFA Nations League 2019,False
363,2018-10-14,RUS,TUR,2:0,,UEFA Nations League 2019,False
364,2018-10-14,GNB,ZAM,2:1,,CAF Nations Cup 2019 Q,False
365,2018-10-14,THA,TRI,1:0,,Friendly 2018,False
366,2018-10-14,SCO,POR,1:3,,Friendly 2018,False
367,2018-10-14,NCA,AIA,6:0,,CONCACAF Nations League 2020 Q,True
368,2018-10-14,MSR,BLZ,1:0,,CONCACAF Nations League 2020 Q,False
369,2018-10-14,KEN,ETH,3:0,,CAF Nations Cup 2019 Q,False
370,2018-10-14,POL,ITA,0:1,,UEFA Nations League 2019,False
371,2018-10-15,LUX,SMR,3:0,,UEFA Nations League 2019,False
372,2018-10-15,BLR,MDA,0:0,,UEFA Nations League 2019,False
373,2018-10-15,FIN,GRE,2:0,,UEFA Nations League 2019,False
374,2018-10-15,BIH,NIR,2:0,,UEFA Nations League 2019,False
375,2018-10-15,EST,HUN,3:3,,UEFA Nations League 2019,False
376,2018-10-15,ISL,SUI,1:2,,UEFA Nations League 2019,False
377,2018-10-15,KSA,IRQ,1:1,,Friendly 2018,False
378,2018-10-15,ESP,ENG,2:3,,UEFA Nations League 2019,False
379,2018-10-15,KUW,AUS,0:4,,Friendly 2018,False
380,2018-10-15,CRO,JOR,2:1,,Friendly 2018,False
381,2018-10-16,CHN,SYR,2:0,,Friendly 2018,False
382,2018-10-16,CRC,COL,1:3,,Friendly 2018,True
383,2018-10-16,DEN,AUT,2:0,,Friendly 2018,False
384,2018-10-16,IDN,HKG,1:1,,Friendly 2018,False
385,2018-10-16,IRN,BOL,2:1,,Friendly 2018,False
386,2018-10-16,JPN,URU,4:3,,Friendly 2018,False
387,2018-10-16,KOR,PAN,2:2,,Friendly 2018,False
388,2018-10-16,LAO,MNG,1:4,,Friendly 2018,False
389,2018-10-16,MAS,KGZ,0:1,,Friendly 2018,False
390,2018-10-16,MEX,CHI,0:1,,Friendly 2018,False
391,2018-10-16,OMA,ECU,0:0,,Friendly 2018,True
392,2018-10-16,SWE,SVK,1:1,,Friendly 2018,False
393,2018-10-16,CAM,SIN,1:2,,Friendly 2018,False
394,2018-10-16,UZB,QAT,2:0,,Friendly 2018,False
395,2018-10-16,FRA,GER,2:1,,UEFA Nations League 2019,False
